,Brand,Model,Variant,Year,Location,Ownership,KM Driven,Fuel,Transmission,Price
5038,BMW,5-Series,520d Sedan,2013,Delhi,Second,"1,17,009",Diesel,Automatic,"10,90,000"
5039,Land Rover,Evoque,SE Dynamic,2020,Delhi,First,"13,250",Diesel,Manual,"65,00,000"
5040,Maruti Suzuki,Swift,LXi,2016,Ghaziabad,Second,"68,000",Petrol,Automatic,"4,50,000"
5041,Maruti Suzuki,Vitara Brezza,ZXi Plus,2020,Delhi,First,"7,000",Petrol,Automatic,"10,25,000"
5042,Hyundai,Verna,Fluidic 1.6 VTVT SX Opt AT,2014,Delhi,Second,"52,000",Petrol,Automatic,"5,90,000"
5043,Hyundai,Elite i20,Asta 1.2 (O) CVT ,2018,Delhi,First,"19,000",Petrol,Manual,"7,90,000"
5044,BMW,5-Series,530d M Sport ,2021,Delhi,First,"12,000",Diesel,Automatic,"68,00,000"
5045,Maruti Suzuki,Swift DZire,VXi,2009,Delhi,Third,"1,03,000",Petrol,Manual,"2,10,000"
5046,Maruti Suzuki,Swift DZire,VXi,2010,Noida,First,"64,000",Petrol,Automatic,"2,60,000"
5047,Maruti Suzuki,Estilo,VXi,2011,Ghaziabad,First,"75,000",Petrol,Manual,"1,60,000"
5048,Hyundai,Elite i20,Sportz 1.4 CRDI,2017,Noida,First,"65,295",Diesel,Automatic,"5,85,000"
5049,Renault,Duster,RXS CVT,2018,Noida,First,"30,534",Petrol,Manual,"8,65,000"
5050,Maruti Suzuki,Vitara Brezza,VDi (O) ,2017,Ghaziabad,First,"64,000",Diesel,Manual,"7,15,000"
5051,Maruti Suzuki,Swift,LXi,2016,Ghaziabad,Second,"68,000",Petrol,Manual,"4,50,000"
5052,Maruti Suzuki,Baleno,Delta 1.2,2018,Ghaziabad,First,"62,000",Petrol,Automatic,"6,00,000"
5053,Land Rover,Evoque,SE Dynamic,2020,Delhi,First,"13,250",Diesel,Automatic,"65,00,000"
5054,Honda,City,1.5 S AT,2009,Noida,First,"85,000",Petrol,Manual,"3,25,000"
5055,Nissan,Sunny,XL,2011,Noida,First,"41,000",Petrol,Automatic,"2,75,000"
5056,Land Rover,Discovery,3.0 HSE Petrol,2018,Delhi,First,"53,000",Petrol,Manual,"66,00,000"
5057,Audi,A4,40 TFSI Premium Plus,2021,Delhi,First,"1,000",Petrol,Automatic,"44,00,000"
5058,Maruti Suzuki,Celerio,VXi CNG ,2017,Delhi,First,"75,000",CNG,Automatic,"4,50,000"
5059,Mahindra,Scorpio,VLX 2WD BS-IV,2014,Delhi,First,"75,000",Diesel,Automatic,"5,50,000"
5060,Nissan,Terrano,XL (P),2016,Delhi,First,"55,000",Petrol,Automatic,"5,90,000"
5061,Audi,A4,35 TDI Premium Sport + Sunroof,2016,Delhi,First,"45,000",Diesel,Manual,"16,50,000"
